,0,1
e1888347-60f9-4efe-a89e-32268a19607b,[0.38073142 0.25       0.16830231 0.02175966],12863.678397642152
8237338e-66f9-41f8-9183-d90083f5814b,[0.81126149 0.25       0.20989771 0.07063052],4925.659429533884
3a7054a9-f072-459d-8fd2-5a8680a44204,[0.77274605 0.25       0.21352349 0.20119219],12045.356152607348
f549bb23-6ecc-430b-9c6a-e4405fb223ae,[0.31329874 0.25       0.25       0.08942375],7918.061913953832
30f57f11-043f-4f0b-8b8e-f84038cd7f5d,[0.7041049 0.25      0.1217843 0.01     ],3783.261462794223
2b2b68e2-e4fa-4907-b272-7c376a175e72,[0.79044865 0.25       0.22839858 0.10641095],6012.112965649302
046186e8-2406-41ed-b913-0e8cd697710d,[0.56496676 0.25       0.25       0.08336746],10808.437614439554
52759a81-9bcf-48bf-9084-0bbaa4e6b6c8,[0.81340663 0.25       0.14088605 0.01065227],5642.230088147603
7c2a66d5-d3f7-4878-9aea-601211549823,[0.81261052 0.25       0.19566267 0.03630294],1504.9330925522172
b015c330-f813-4066-ab58-94c74d100e19,[0.4297373  0.25       0.25       0.05058791],16581.290713721344
4176e05b-df12-4bba-8240-afaec03fac17,[0.49120151 0.25       0.25       0.09445259],11282.741636034954
434418ef-d239-490c-9b70-939b2563486f,[0.43164106 0.25       0.25       0.13918931],10069.965214429216
8163e055-1c0b-4b0a-bc9e-5fe8d4167b43,[0.18402244 0.22580386 0.25       0.0382344 ],6415.085599961521
739c3c9d-fb71-4be5-a803-79048f15c49f,[0.6083229  0.25       0.22375478 0.11058349],9605.456815222682
1b659a0f-947d-4716-870b-5407fce1627c,[0.59992379 0.25       0.23451593 0.1966591 ],16165.38978560732
bd35806c-061d-42a3-b230-8b6dede9a6e1,[0.53809919 0.25       0.25       0.0291248 ],4899.904600082584
6b2880f4-9c03-4100-8d82-736b9624f5c2,[0.70079014 0.25       0.16771366 0.01      ],8079.004018921729
0400e95e-9df6-4a47-9786-8be9d188f8d5,[0.82695474 0.25       0.17331925 0.09789254],2194.2848917078404
546e189b-482e-450c-ac0f-0a8189bc4ad7,[0.39353135 0.25       0.25       0.17131006],5602.967860140474
3e9c3f94-90d9-44d0-bc4c-ded163e0a043,[0.74426458 0.25       0.14290099 0.11426581],2681.7059387769254
11752108-1a9a-4238-bb0c-356ee6404318,[0.35928091 0.25       0.24437512 0.02015161],7989.325274423997
99f1c74f-67f2-45cf-90dc-2fec66527207,[0.84771467 0.25       0.22775593 0.01      ],11097.748687790932
2d5da2e0-63a4-4233-bcc2-223b2d1d8ed2,[0.71856524 0.25       0.25       0.08742224],12977.872130006803
163ab340-09ed-464f-bde2-c29de54f8743,[0.32136114 0.25       0.25       0.0506674 ],13864.318648095856
579d311e-f72b-441a-ab29-6731576e74ab,[0.74077412 0.25       0.25       0.01      ],15798.008468309068
20156270-59d8-4f26-aa74-d36fe7795600,[0.59978151 0.25       0.25       0.0539001 ],13049.817775403373
c126e6f4-ac73-4279-bf97-2d8a2f30eec9,[0.60312092 0.25       0.25       0.08001296],11091.490394276174
09f1962f-8d68-4765-94fc-ee1a8451f22c,[0.27312019 0.25       0.25       0.05311524],8200.443724455734
72daed80-b424-40f8-b37b-db4c268bc1e1,[0.31616564 0.25       0.24778387 0.07704328],7335.977165967872
5854bd5e-4911-4d0f-b6f9-58bc06014b2b,[0.66233734 0.25       0.23518089 0.19777155],11851.721655514792
5d54be6e-ff98-4bec-b20b-ad6a1769a67f,[0.79211826 0.25       0.18441362 0.10865771],3742.5746022667036
d8bc6aa9-8d47-4dcd-b2a2-94db24e38a9c,[0.44607011 0.25       0.08115316 0.04861129],3657.343903634945
a722ec0d-890f-44d7-ba3f-296fe312ca8c,[0.80465237 0.25       0.18027965 0.06687278],1162.8923653567792
e3d78589-deb5-46f7-8d05-0df2d75203c7,[0.33190167 0.25       0.20322037 0.01      ],5920.185742973886
d136f763-4d40-43bd-ae4e-b983a2d3b610,[0.69556789 0.25       0.21515745 0.07810236],11946.767759524579
28d26a8b-4750-4ac3-b9ee-b91e62f1c05e,[0.52764958 0.25       0.11259533 0.20466645],8051.573091004216
7961ccd3-2d03-4492-80fe-c6c8d285e4ab,[0.34008939 0.25       0.25       0.18649038],6445.39446486703
59303a28-87d3-4c8d-93d2-cc911d6e7002,[0.57001518 0.25       0.200382   0.12183758],13496.778992423606
9a7548c4-0db9-447f-90c3-aaf4a7494ba9,[0.82345142 0.25       0.25       0.11309499],10718.038556923042
fc558e7b-a961-4d33-83e5-d1fc0ee8e32a,[0.31742405 0.25       0.25       0.09784788],5219.44926831303
50dc5dc4-d126-4ed9-8a53-93b2115456aa,[0.51380986 0.25       0.25       0.19658609],4372.770101327132
e2066c6e-f57c-4fb0-a7a2-5b178a412eb2,[0.30093639 0.25       0.25       0.10845775],8935.91929876872
f58b96dd-b990-453f-b415-d61124a87ea9,[0.47641044 0.25       0.12157197 0.07318629],701.6961557958779
be8430f1-8431-47b1-a39d-d40120379ef7,[0.66230236 0.25       0.25       0.03786334],2860.0794916507375
6e17dc3a-f370-461c-9595-e64ad66565c7,[0.51396228 0.25       0.25       0.09402708],6517.899879320907
13e0818c-3066-42e9-89a9-4857762578f0,[0.52580733 0.25       0.25       0.0424217 ],12806.274415105809
fa5e4e2f-0a32-4c1e-8b02-1f458bfd8f7a,[0.67574367 0.25       0.22358398 0.0760869 ],12132.481830455452
90fe5745-00d5-4c9d-8be9-b23ee6f2dff1,[0.78262271 0.25       0.25       0.02734828],10259.33780600321
4f8255dd-74d5-4ba0-a7fe-924945432362,[0.57828815 0.25       0.25       0.04681028],12748.097618569722
d16de625-3c48-49c5-a062-40e7b6ab3dac,[0.1828916 0.25      0.25      0.01     ],10070.653502294363
5d08ba78-d89a-4cdb-9e20-f7b96785e6b4,[0.50587135 0.25       0.20157885 0.06480438],13885.160524799685
fcb15727-081b-4faf-a086-1cbc67374f6a,[0.59098416 0.25       0.25       0.12264295],13330.085469675512
b43a006b-6f23-4e4e-a744-328008e87884,[0.72642684 0.25       0.25       0.11971919],6516.245932627224
a0f98a9c-90bf-4a69-ba2b-76f77d928b4f,[0.56748803 0.25       0.15823388 0.12275062],3183.265533518496
9a6701a6-1a91-4052-825b-ac179039e32e,[0.58170259 0.25       0.25       0.01      ],532.4302976779791
f2c4060d-3aca-4db3-851a-c0cad0921cf0,[0.46255459 0.25       0.19975108 0.01      ],3111.144188097135
d0f11369-b9ae-4b40-a1a1-1a3104cea1ea,[0.30165954 0.25       0.25       0.08266513],4053.9052888590613
142c978d-e27f-4b1e-b4e5-ac7e6a2f400d,[0.37483308 0.25       0.15563695 0.06531202],6572.811248417729
2aa66404-6774-41b3-b705-a8896a8e79e9,[0.77932736 0.25       0.17031498 0.18477939],9797.15799881422
484eed1d-82fd-4847-910c-872f9a555b8d,[0.74944973 0.25       0.14364429 0.1444129 ],4098.707446840931
315293da-454e-4560-a0d7-ee2ec7b8ae8b,[0.61532692 0.25       0.07933202 0.23489897],919.9646513597262
e7417928-1ca0-42f9-8673-88250789d066,[0.68171143 0.25       0.25       0.07496971],11656.111818815762
1ce1875d-0504-48d0-9e3f-2f2e889573b3,[0.61004984 0.25       0.1363428  0.08477042],14462.977951376683
16cfba2f-7e03-4ddc-926a-2ca10bf45434,[0.64636755 0.25       0.17327278 0.18335012],4914.298793639333
36ff2c57-e365-447e-94ad-e13d7d4f87bf,[0.82182821 0.25       0.20976827 0.06564502],1593.1852963841552
fa84c3a5-97af-4a9f-b27c-5cf7482adf34,[0.59207474 0.25       0.25       0.06379702],5398.02182507239
d864b2d6-bcf3-46cf-954e-64e16314b9ef,[0.50617306 0.25       0.25       0.08467808],8744.01446525294
40eceb48-e7cf-4a6f-b640-8810eca30cd0,[0.83139745 0.25       0.18567866 0.11166093],3067.4156087387346
